iter	Logloss
0	0.6844259645
1	0.6712175371
2	0.6607402584
3	0.6522234911
4	0.6417835445
5	0.6324914004
6	0.6258475737
7	0.6182923677
8	0.6113429794
9	0.6050645955
10	0.5990876568
11	0.5925023073
12	0.5845199
13	0.5786956124
14	0.5748877531
15	0.5699376041
16	0.5654874008
17	0.5600474201
18	0.5543266364
19	0.5490118318
20	0.5438297871
21	0.5387135578
22	0.5353747458
23	0.5318725312
24	0.5283063158
25	0.5252378765
26	0.5226341882
27	0.5190375923
28	0.5160847463
29	0.5124373686
30	0.5089483045
31	0.5063494309
32	0.5042233145
33	0.5025073157
34	0.5003291169
35	0.4952760257
36	0.4929055773
37	0.4899524401
38	0.4872107141
39	0.4858099456
40	0.4831092134
41	0.4813096262
42	0.4803729443
43	0.4773607738
44	0.4748156703
45	0.4740428451
46	0.472830344
47	0.4701809341
48	0.4687407679
49	0.4686195726
50	0.4668819692
51	0.4659738451
52	0.4633971324
53	0.4605212746
54	0.4590689994
55	0.4581603163
56	0.4570775053
57	0.453183538
58	0.452348479
59	0.4516338611
60	0.4496283164
61	0.4478076408
62	0.4476196603
63	0.4447145359
64	0.4426363103
65	0.4401300462
66	0.4388610826
67	0.4378541942
68	0.4353709632
69	0.4338797004
70	0.4298986847
71	0.4282717622
72	0.4266341316
73	0.4235977357
74	0.4201727296
75	0.4189591951
76	0.4167206157
77	0.4140005184
78	0.4121314682
79	0.4106209692
80	0.4091633931
81	0.4088523136
82	0.4075104336
83	0.4066809871
84	0.4034181604
85	0.4021746138
86	0.4004699617
87	0.3987660373
88	0.3975587533
89	0.3945610467
90	0.3930075834
91	0.3904904671
92	0.3884981627
93	0.3852015073
94	0.3839030388
95	0.3830813584
96	0.38128367
97	0.3794662659
98	0.3775831342
99	0.377020625
100	0.3741845547
101	0.3716386849
102	0.3706592699
103	0.3689575492
104	0.3686929783
105	0.365613044
106	0.3648963416
107	0.3620839425
108	0.3615806517
109	0.3609420418
110	0.3608688814
111	0.3602255998
112	0.3585087189
113	0.3576492929
114	0.356764909
115	0.3549319485
116	0.3545559736
117	0.3531095871
118	0.3511759194
119	0.3496812683
120	0.3492455536
121	0.347821233
122	0.3476078383
123	0.3458218016
124	0.344816684
125	0.3432921988
126	0.3413889997
127	0.3408132725
128	0.3400790913
129	0.3386307454
130	0.3384390785
131	0.3364411513
132	0.3356510396
133	0.3351277527
134	0.3333441207
135	0.3311914472
136	0.3299560029
137	0.3286346438
138	0.3263665361
139	0.3252284225
140	0.3237364965
141	0.3232489015
142	0.3228764382
143	0.3215772499
144	0.3202784665
145	0.3196072487
146	0.3188667762
147	0.318595508
148	0.3170238966
149	0.315677474
150	0.3140678903
151	0.3138289377
152	0.3126139523
153	0.3126081315
154	0.3105503902
155	0.3090182882
156	0.3085499999
157	0.3064056709
158	0.3058941351
159	0.3052670504
160	0.304945678
161	0.304734778
162	0.3036126344
163	0.3022812136
164	0.3021451501
165	0.3014618526
166	0.3014494122
167	0.3007053795
168	0.3006565337
169	0.3006562452
170	0.2999061522
171	0.2996080723
172	0.2992316287
173	0.2974646834
174	0.2953405253
175	0.2945317798
176	0.2930448022
177	0.292113199
178	0.2918004587
179	0.2913023146
180	0.2906226553
181	0.2902698604
182	0.2893446967
183	0.2881387519
184	0.2874234427
185	0.2866081551
186	0.2850327936
187	0.2838876862
188	0.2823056013
189	0.281855345
190	0.2805183521
191	0.2803340812
192	0.2792820995
193	0.2789385294
194	0.278521134
195	0.2775380483
196	0.2766120985
197	0.2751326861
198	0.2744161172
199	0.2739312715
200	0.2731587083
201	0.2727981584
202	0.2719466864
203	0.2710907834
204	0.2695717478
205	0.2687687349
206	0.2677611398
207	0.2674874202
208	0.2669745544
209	0.2663140672
210	0.2651372376
211	0.2644812797
212	0.2634398049
213	0.2627412754
214	0.261021597
215	0.2597800711
216	0.2597393175
217	0.2584418524
218	0.2574872869
219	0.2559802623
220	0.255317533
